batter,runs,balls,strike_rate
GD Phillips,65,55,118.18181818181819
MW Short,117,99,118.18181818181819
R Bhatia,342,290,117.9310344827586
D Padikkal,1559,1323,117.83824640967498
TK Curran,127,108,117.59259259259258
DJG Sammy,295,251,117.52988047808766
MK Pandey,3859,3288,117.36618004866179
Gurkeerat Singh,511,436,117.20183486238531
Sachin Baby,144,123,117.07317073170731
PC Valthaty,505,432,116.89814814814814
IK Pathan,1150,985,116.75126903553299
PA Patel,2848,2442,116.62571662571663
MJ McClenaghan,85,73,116.43835616438356
HV Patel,249,214,116.35514018691589
Sohail Tanvir,36,31,116.12903225806453
Harpreet Brar,233,201,115.92039800995025
JD Unadkat,197,170,115.88235294117648
S Badrinath,1441,1245,115.74297188755021
SS Tiwary,1494,1291,115.72424477149497
JL Pattinson,15,13,115.38461538461537
SD Lad,15,13,115.38461538461537
DB Ravi Teja,375,325,115.38461538461537
Anuj Rawat,318,276,115.21739130434783
AJ Tye,91,79,115.18987341772151
TL Suman,676,587,115.1618398637138
Shahbaz Ahmed,536,467,114.77516059957173
KV Sharma,351,306,114.70588235294117
SP Fleming,196,171,114.61988304093566
R Ashwin,800,698,114.61318051575931
R Sathish,270,236,114.40677966101696
KC Cariappa,24,21,114.28571428571428
AM Nayar,672,588,114.28571428571428
NV Ojha,1554,1360,114.26470588235293
SR Tendulkar,2334,2044,114.18786692759295
LA Carseldine,81,71,114.08450704225352
Y Venugopal Rao,985,865,113.87283236994219
DB Das,304,267,113.85767790262172
MK Tiwary,1695,1489,113.83478844862324
Sanvir Singh,25,22,113.63636363636364
RS Bopara,531,468,113.46153846153845
R Dravid,2174,1918,113.34723670490095
LR Shukla,405,358,113.12849162011173
NL McCullum,26,23,113.04347826086956
AP Majumdar,87,77,112.98701298701299
J Suchith,70,62,112.90322580645163
AS Raut,194,172,112.79069767441861
DJM Short,115,102,112.74509803921569
DT Christian,460,408,112.74509803921569
Saurav Chauhan,18,16,112.5
AA Kulkarni,9,8,112.5
S Anirudha,136,121,112.39669421487604
J Botha,409,364,112.36263736263736
Salman Butt,193,172,112.20930232558139
